DATE,CPI
4/1/2014,2.08034
7/1/2014,1.79097
10/1/2014,1.16401
1/1/2015,-0.11289
4/1/2015,0.03701
7/1/2015,0.15861
10/1/2015,0.40047
1/1/2016,0.99184
4/1/2016,1.11003
7/1/2016,1.15715
10/1/2016,1.80698
1/1/2017,2.55095
4/1/2017,1.91855
7/1/2017,1.96918
10/1/2017,2.11549
1/1/2018,2.2263
4/1/2018,2.68264
7/1/2018,2.61224
10/1/2018,2.21672
1/1/2019,1.60781
4/1/2019,1.84881
7/1/2019,1.76256
10/1/2019,2.02647
1/1/2020,2.09899
4/1/2020,0.43022
7/1/2020,1.26064
10/1/2020,1.21125
1/1/2021,1.89362
4/1/2021,4.80208
7/1/2021,5.28754
10/1/2021,6.74974
