DATE,FEDFUNDS
7/1/1954,1.03
10/1/1954,0.986666667
1/1/1955,1.343333333
4/1/1955,1.5
7/1/1955,1.94
10/1/1955,2.356666667
1/1/1956,2.483333333
4/1/1956,2.693333333
7/1/1956,2.81
10/1/1956,2.926666667
1/1/1957,2.933333333
4/1/1957,3
7/1/1957,3.233333333
10/1/1957,3.253333333
1/1/1958,1.863333333
4/1/1958,0.94
7/1/1958,1.323333333
10/1/1958,2.163333333
1/1/1959,2.57
4/1/1959,3.083333333
7/1/1959,3.576666667
10/1/1959,3.99
1/1/1960,3.933333333
4/1/1960,3.696666667
7/1/1960,2.936666667
10/1/1960,2.296666667
1/1/1961,2.003333333
4/1/1961,1.733333333
7/1/1961,1.683333333
10/1/1961,2.4
1/1/1962,2.456666667
4/1/1962,2.606666667
7/1/1962,2.846666667
10/1/1962,2.923333333
1/1/1963,2.966666667
4/1/1963,2.963333333
7/1/1963,3.33
10/1/1963,3.453333333
1/1/1964,3.463333333
4/1/1964,3.49
7/1/1964,3.456666667
10/1/1964,3.576666667
1/1/1965,3.976666667
4/1/1965,4.08
7/1/1965,4.076666667
10/1/1965,4.166666667
1/1/1966,4.56
4/1/1966,4.913333333
7/1/1966,5.41
10/1/1966,5.563333333
1/1/1967,4.823333333
4/1/1967,3.99
7/1/1967,3.893333333
10/1/1967,4.173333333
1/1/1968,4.79
4/1/1968,5.983333333
7/1/1968,5.946666667
10/1/1968,5.916666667
1/1/1969,6.566666667
4/1/1969,8.326666667
7/1/1969,8.983333333
10/1/1969,8.94
1/1/1970,8.573333333
4/1/1970,7.886666667
7/1/1970,6.706666667
10/1/1970,5.566666667
1/1/1971,3.856666667
4/1/1971,4.566666667
7/1/1971,5.476666667
10/1/1971,4.75
1/1/1972,3.546666667
4/1/1972,4.3
7/1/1972,4.743333333
10/1/1972,5.146666667
1/1/1973,6.536666667
4/1/1973,7.816666667
7/1/1973,10.56
10/1/1973,9.996666667
1/1/1974,9.323333333
4/1/1974,11.25
7/1/1974,12.09
10/1/1974,9.346666667
1/1/1975,6.303333333
4/1/1975,5.42
7/1/1975,6.16
10/1/1975,5.413333333
1/1/1976,4.826666667
4/1/1976,5.196666667
7/1/1976,5.283333333
10/1/1976,4.873333333
1/1/1977,4.66
4/1/1977,5.156666667
7/1/1977,5.82
10/1/1977,6.513333333
1/1/1978,6.756666667
4/1/1978,7.283333333
7/1/1978,8.1
10/1/1978,9.583333333
1/1/1979,10.07333333
4/1/1979,10.18
7/1/1979,10.94666667
10/1/1979,13.57666667
1/1/1980,15.04666667
4/1/1980,12.68666667
7/1/1980,9.836666667
10/1/1980,15.85333333
1/1/1981,16.57
4/1/1981,17.78
7/1/1981,17.57666667
10/1/1981,13.58666667
1/1/1982,14.22666667
4/1/1982,14.51333333
7/1/1982,11.00666667
10/1/1982,9.286666667
1/1/1983,8.653333333
4/1/1983,8.803333333
7/1/1983,9.46
10/1/1983,9.43
1/1/1984,9.686666667
4/1/1984,10.55666667
7/1/1984,11.39
10/1/1984,9.266666667
1/1/1985,8.476666667
4/1/1985,7.923333333
7/1/1985,7.9
10/1/1985,8.103333333
1/1/1986,7.826666667
4/1/1986,6.92
7/1/1986,6.206666667
10/1/1986,6.266666667
1/1/1987,6.22
4/1/1987,6.65
7/1/1987,6.843333333
10/1/1987,6.916666667
1/1/1988,6.663333333
4/1/1988,7.156666667
7/1/1988,7.983333333
10/1/1988,8.47
1/1/1989,9.443333333
4/1/1989,9.726666667
