Date,Container A,Rail A
7/17/2020,325,350
7/24/2020,325,300
7/31/2020,325,300
8/7/2020,250,275
8/14/2020,175,275
8/21/2020,175,275
8/28/2020,175,275
9/4/2020,175,275
9/11/2020,175,275
9/18/2020,175,260
9/25/2020,170,260
10/2/2020,175,260
10/9/2020,165,260
10/16/2020,165,260
10/23/2020,165,255
10/30/2020,165,255
11/6/2020,165,250
11/13/2020,165,250
11/20/2020,160,240
11/27/2020,160,240
12/4/2020,155,230
12/11/2020,150,225
12/18/2020,150,225
12/24/2020,150,225
12/31/2020,150,220
1/8/2021,140,215
1/15/2021,140,200
1/22/2021,125,200
1/29/2021,115,200
2/5/2021,115,200
2/12/2021,110,190
2/19/2021,105,180
2/26/2021,105,180
3/5/2021,110,170
3/12/2021,110,170
3/19/2021,120,170
3/26/2021,125,170
4/2/2021,125,170
4/9/2021,120,170
4/16/2021,120,170
4/23/2021,115,170
4/30/2021,105,170
5/7/2021,100,170
5/14/2021,100,170
5/21/2021,106,170
5/28/2021,105,170
6/4/2021,105,170
6/11/2021,105,170
6/18/2021,105,170
6/25/2021,105,170
7/2/2021,105,170
7/9/2021,105,170
7/16/2021,105,170
7/23/2021,105,170
7/30/2021,105,170
8/6/2021,105,170
8/13/2021,105,170
8/20/2021,100,160
8/27/2021,100,160
9/3/2021,100,160
9/10/2021,100,160
9/17/2021,100,160
9/24/2021,100,160
10/1/2021,100,160
10/8/2021,100,160
10/15/2021,100,160
10/22/2021,95,160
10/29/2021,90,160
11/5/2021,90,160
11/12/2021,90,160
11/19/2021,90,160
11/26/2021,90,160
12/3/2021,95,160
12/10/2021,95,160
12/17/2021,95,160
12/24/2021,95,160
12/31/2021,95,160
